case	endpoint	dt	delta_x	exit_code	completed	mfront_integration_failure	first_failed_time	front_at_failure	last_nonlinear_iteration
SM_MC_C10M_PROGRESS_END_2p5_DT_0p05	2.5	0.05	0.125	1	no	yes	0.40000000000000002	1.0	2
SM_MC_C10M_PROGRESS_END_2p5_DT_0p04	2.5	0.04	0.1	1	no	yes	0.40000000000000002	1.0	2
SM_MC_C10M_PROGRESS_END_2p5_DT_0p025	2.5	0.025	0.0625	1	no	yes	0.55000000000000004	1.375	2
SM_MC_C10M_PROGRESS_END_2p5_DT_0p02	2.5	0.02	0.05	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_2p5_DT_0p0125	2.5	0.0125	0.03125	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_2p5_DT_0p01	2.5	0.01	0.025	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_2p0_DT_0p05	2.0	0.05	0.1	1	no	yes	0.5	1.0	2
SM_MC_C10M_PROGRESS_END_2p0_DT_0p04	2.0	0.04	0.08	1	no	yes	0.64000000000000001	1.28	2
SM_MC_C10M_PROGRESS_END_2p0_DT_0p025	2.0	0.025	0.05	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_2p0_DT_0p02	2.0	0.02	0.04	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p5_DT_0p05	1.5	0.05	0.07500000000000001	1	no	yes	0.65000000000000002	0.9750000000000001	2
SM_MC_C10M_PROGRESS_END_1p5_DT_0p04	1.5	0.04	0.06	1	no	yes	0.92000000000000004	1.3800000000000001	2
SM_MC_C10M_PROGRESS_END_1p5_DT_0p025	1.5	0.025	0.037500000000000006	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p5_DT_0p02	1.5	0.02	0.03	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p25_DT_0p05	1.25	0.05	0.0625	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p25_DT_0p04	1.25	0.04	0.05	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p25_DT_0p025	1.25	0.025	0.03125	0	yes	no	-	-	1
SM_MC_C10M_PROGRESS_END_1p25_DT_0p02	1.25	0.02	0.025	0	yes	no	-	-	1
